유형 1,유형 2,유형 3,출제년도,출제월,출제학년,출제교육청,출제번호,문제번호,문제,문제지문,선지1,선지2,선지3,선지4,선지5,정답,모범해석,이미지URL
내용추론,내용일치/불일치,"실용문, 내용일치",2023,3월,고1,서울교육청,26,1,Lilian Bland에 관한 다음 글의 내용과 일치하지 않는 것은?,"Lilian Bland was born in Kent, England in 1878. Unlike most other girls at the time she wore trousers and spent her time enjoying adventurous activities like horse riding and hunting. Lilian began her career as a sports and wildlife photographer for British newspapers. In 1910 she became the first woman to design, build, and fly her own airplane. In order to persuade her to try a slightly safer activity, Lilian's dad bought her a car. Soon Lilian was a master driver and ended up working as a car dealer. She never went back to flying but lived a long and exciting life nonetheless. She married, moved to Canada, and had a kid. Eventually, she moved back to England, and lived there for the rest of her life.",① 승마와 사냥 같은 모험적인 활동을 즐겼다.,② 스포츠와 야생 동물 사진작가로 경력을 시작했다.,③ 자신의 비행기를 설계하고 제작했다.,④ 자동차 판매원으로 일하기도 했다.,⑤ 캐나다에서 생의 마지막 기간을 보냈다.,⑤,"[해석] Lilian Bland는 1878년 잉글랜드 Kent에서 태어났다. 그 당시 대부분의 다른 여자아이와 달리 그녀는 바지를 입었고, 승마와 사냥 같은 모험적인 활동을 즐기며 시간을 보냈다. Lilian은 영국 신문사의 스포츠와 야생 동물 사진작가로 자신의 경력을 시작했다. 1910년에 그녀는 자신의 비행기를 설계하고, 제작하고, 비행한 최초의 여성이 되었다. 약간 더 안전한 활동을 하도록 그녀를 설득하기 위해, Lilian의 아버지는 그녀에게 자동차를 사주었다. 곧 Lilian은 뛰어난 운전자가 되었고 결국 자동차 판매원으로 일하게 되었다. 그녀는 결코 비행을 다시 시작하지 않았지만, 그렇더라도 오랫동안 흥미진진한 삶을 살았다. 그녀는 결혼하여 캐나다로 이주했고, 아이를 낳았다. 결국 잉글랜드로 돌아와 거기서 생의 마지막 기간을 보냈다.",
내용추론,내용일치/불일치,"실용문, 내용일치",2023,3월,고1,서울교육청,27,2,Call for Articles에 관한 다음 안내문의 내용과 일치하지 않는 것은?,"Call for Articles

Do you want to get your stories published? New Dream Magazine is looking for future writers! This event is open to anyone aged 13 to 18.

Articles
• Length of writing: 300-325 words
• Articles should also include high-quality color photos.

Rewards
• Five cents per word
• Five dollars per photo

Notes
• You should send us your phone number together with your writing.
• Please email your writing to us at article@ndmag.com.",① 13세에서 18세까지의 누구나 참여할 수 있다.,② 기사는 고화질 컬러 사진을 포함해야 한다.,③ 사진 한 장에 5센트씩 지급한다.,④ 전화번호를 원고와 함께 보내야 한다.,⑤ 원고를 이메일로 제출해야 한다.,③,"[해석] 기사 모집

여러분의 이야기가 출간되기를 원하시나요? New Dream Magazine은 미래의 작가를 찾고 있습니다! 이 행사는 13세에서 18세까지 누구나 참여할 수 있습니다.

기사
• 원고 길이: 300~325단어
• 기사에는 또한 고화질 컬러 사진이 포함되어야 합니다.

사례금
• 단어당 5센트
• 사진당 5달러

주의 사항
• 여러분의 전화번호를 원고와 함께 보내야 합니다.
• 원고를 이메일 article@ndmag.com으로 보내세요.",
내용추론,내용일치/불일치,"실용문, 내용일치",2023,3월,고1,서울교육청,28,3,Greenhill Roller Skating에 관한 다음 안내문의 내용과 일치하는 것은?,"Greenhill Roller Skating

Join us for your chance to enjoy roller skating!
• Place: Greenhill Park, 351 Cypress Avenue
• Dates: Friday, April 7 - Sunday, April 9
• Time: 9 a.m. - 6 p.m.
• Fee: $8 per person for a 50-minute session

Details
- Admission will be on a first-come, first-served basis with no reservations.
- Children under the age of 10 must be accompanied by an adult.
- We will lend you our roller skates for free.

Contact the Community Center for more information at 013-234-6114.",① 오전 9시부터 오후 9시까지 운영한다.,② 이용료는 시간 제한 없이 1인당 8달러이다.,③ 입장하려면 예약이 필요하다.,④ 10세 미만 어린이는 어른과 동행해야 한다.,⑤ 추가 요금을 내면 롤러스케이트를 빌려준다.,④,"[해석] Greenhill 롤러스케이팅

롤러스케이팅을 즐길 기회를 함께 해요!
• 장소: Greenhill Park, 351 Cypress Avenue
• 일자: 4월 7일 금요일~4월 9일 일요일
• 시간: 오전 9시~오후 6시
• 요금: 50분간 1인당 8달러

세부 사항
- 입장은 예약 없이 선착순입니다.
- 10세 미만의 어린이는 어른과 동행해야 합니다.
- 롤러스케이트는 무료로 빌려줍니다.

더 많은 정보를 위해서 커뮤니티 센터 013-234-6114로 연락하세요.",
내용추론,내용일치/불일치,"실용문, 내용일치",2023,6월,고1,부산교육청,26,4,Gary Becker에 관한 다음 글의 내용과 일치하지 않는 것은?,"Gary Becker was born in Pottsville, Pennsylvania in 1930 and grew up in Brooklyn, New York City. His father, who was not well educated, had a deep interest in financial and political issues. After graduating from high school, Becker went to Princeton University, where he majored in economics. He was dissatisfied with his economic education at Princeton University because ""it didn't seem to be handling real problems."" He earned a doctor's degree in economics from the University of Chicago in 1955. His doctoral paper on the economics of discrimination was mentioned by the Nobel Prize Committee as an important contribution to economics. Since 1985, Becker had written a regular economics column in Business Week, explaining economic analysis and ideas to the general public. In 1992, he was awarded the Nobel Prize in economic science.

*discrimination: 차별",① New York City의 Brooklyn에서 자랐다.,② 아버지는 금융과 정치 문제에 깊은 관심이 있었다.,③ Princeton University에서의 경제학 교육에 만족했다.,④ 1955년에 경제학 박사 학위를 취득했다.,⑤ Business Week에 경제학 칼럼을 기고했다.,③,"[해석] Gary Becker는 1930년 Pennsylvania 주 Pottsville에서 태어났고 New York City의 Brooklyn에서 자랐다. 교육을 제대로 받지 못한 그의 아버지는 금융과 정치 문제에 깊은 관심이 있었다. 고등학교를 졸업한 후, Becker는 Princeton University로 진학했고, 거기서 그는 경제학을 전공했다. ""Princeton University에서의 경제학 교육이 현실적인 문제를 다루고 있는 것처럼 보이지 않았기"" 때문에 그는 그것에 불만족했다. 그는 1955년에 University of Chicago에서 경제학 박사 학위를 취득했다. 차별의 경제학에 대한 그의 박사 논문은 노벨상 위원회에 의해 경제학에 대한 중요한 기여로 언급되었다. 1985년부터, Becker는 Business Week에 경제학적 분석과 아이디어를 일반 대중에게 설명하는 경제학 칼럼을 정기적으로 기고했다. 1992년에, 그는 노벨 경제학상을 수상했다.

*discrimination: 차별",
내용추론,내용일치/불일치,"실용문, 내용일치",2023,6월,고1,부산교육청,27,5,2023 Drone Racing Championship에 관한 다음 안내문의 내용과 일치하지 않는 것은?,"2023 Drone Racing Championship

Are you the best drone racer? Then take the opportunity to prove you are the one!

When & Where
• 6 p.m. - 8 p.m., Sunday, July 9
• Lakeside Community Center

Requirements
• Participants: High school students only
• Bring your own drone for the race.

Prize
• $500 and a medal will be awarded to the winner.

Note
• The first 10 participants will get souvenirs.

For more details, please visit www.droneracing.com or call 313-6745-1189.",① 7월 9일 일요일에 개최된다.,② 고등학생만 참가할 수 있다.,③ 자신의 드론을 가져와야 한다.,④ 상금과 메달이 우승자에게 수여될 것이다.,⑤ 20명의 참가자가 기념품을 받을 것이다.,⑤,"[해석] 2023 Drone Racing Championship

당신은 최고의 드론 레이서인가요? 그렇다면 여러분이 바로 그 사람이라는 것을 증명할 기회를 잡으세요!

언제 & 어디서
• 오후 6시부터 오후 8시까지, 일요일, 7월 9일
• Lakeside Community Center

필요요건
• 참가자: 고등학생만
• 레이스를 위한 자신의 드론을 가지고 오세요.

상
• 500달러와 메달이 우승자에게 수여될 것입니다.

참고 사항
• 선착순 10명의 참가자들은 기념품을 받게 될 것입니다.

더 많은 세부 정보를 원하시면, www.droneracing.com을 방문하거나 313-6745-1189로 전화하세요.",
내용추론,내용일치/불일치,"실용문, 내용일치",2023,6월,고1,부산교육청,28,6,Summer Scuba Diving One-day Class에 관한 다음 안내문의 내용과 일치하는 것은?,"Summer Scuba Diving One-day Class

Join our summer scuba diving lesson for beginners, and become an underwater explorer!

Schedule
• 10:00 - 12:00 Learning the basics
• 13:00 - 16:00 Practicing diving skills in a pool

Price
• Private lesson: $150
• Group lesson (up to 3 people): $100 per person
• Participants can rent our diving equipment for free.

Notice
• Participants must be 10 years old or over.
• Participants must register at least 5 days before the class begins.

For more information, please go to www.ssdiver.com.",① 오후 시간에 바다에서 다이빙 기술을 연습한다.,② 그룹 수업의 최대 정원은 4명이다.,③ 다이빙 장비를 유료로 대여할 수 있다.,④ 연령에 관계없이 참가할 수 있다.,⑤ 적어도 수업 시작 5일 전까지 등록해야 한다.,⑤,"[해석] Summer Scuba Diving One-day Class

초보자를 위한 우리의 여름 스쿠버 다이빙 수업에 참여하여, 수중 탐험가가 되세요!

일정
• 10시 - 12시 기초 배우기
• 13시 - 16시 수영장에서 다이빙 기술 연습하기

가격
• 개인 수업: $150
• 그룹 수업 (최대 3명): 1인당 $100
• 참가자는 다이빙 장비를 무료로 대여할 수 있습니다.

알림
• 참가자는 10세 이상이어야 합니다.
• 참가자는 적어도 수업 시작 5일 전까지 등록해야 합니다.

더 많은 정보를 원하시면, www.ssdiver.com을 방문하세요.",
내용추론,내용일치/불일치,"실용문, 내용일치",2023,9월,고1,인천교육청,26,7,Bill Evans에 관한 다음 글의 내용과 일치하지 않는 것은?,"American jazz pianist Bill Evans was born in New Jersey in 1929. His early training was in classical music. At the age of six, he began receiving piano lessons, later adding flute and violin. He earned bachelor's degrees in piano and music education from Southeastern Louisiana College in 1950. He went on to serve in the army from 1951 to 1954 and played flute in the Fifth Army Band. After serving in the military, he studied composition at the Mannes School of Music in New York. Composer George Russell admired his playing and hired Evans to record and perform his compositions. Evans became famous for recordings made from the late-1950s through the 1960s. He won his first Grammy Award in 1964 for his album Conversations with Myself. Evans' expressive piano works and his unique harmonic approach inspired a whole generation of musicians.",① 6세에 피아노 수업을 받기 시작했다.,② Southeastern Louisiana 대학에서 학위를 취득했다.,③ 군 복무 이후 뉴욕에서 작곡을 공부했다.,④ 작곡가 George Russell을 고용했다.,⑤ 1964년에 자신의 첫 번째 그래미상을 수상했다.,④,"[해석] 미국인 재즈 피아니스트 Bill Evans는 뉴저지에서 1929년에 태어났다. 그의 초기 교육은 클래식 음악이었다. 6세에 그는 피아노 수업을 받기 시작해서, 나중에 플루트와 바이올린을 더했다. 그는 1950년에 Southeastern Louisiana 대학에서 피아노와 음악 교육에서 학사 학위를 취득했다. 그는 1951에서 1954년까지 군 복무를 하며 제5군악대에서 플루트를 연주했다. 군 복무 이후 그는 뉴욕에 있는 Mannes School of Music에서 작곡을 공부했다. 작곡가 George Russell은 그의 연주에 감탄하여 자신의 곡을 녹음하고 연주하도록 하기 위해 Evans를 고용했다. Evans는 1950년대 후반부터 1960년대 동안에 만들어진 음반으로 유명해졌다. 그는 자신의 앨범 Conversations with Myself로 1964년에 자신의 첫 번째 그래미상을 수상했다. Evans의 표현이 풍부한 피아노 작품과 그의 독특한 화성적 접근은 전 세대의 음악가들에게 영감을 주었다.",
내용추론,내용일치/불일치,"실용문, 내용일치",2023,9월,고1,인천교육청,27,8,Silversmithing Class에 관한 다음 안내문의 내용과 일치하지 않는 것은?,"Silversmithing Class

Kingston Club is offering a fine jewelry making class. Don't miss this great chance to make your own jewelry!

When & Where
• Saturday, October 21, 2023 (2 p.m. to 4 p.m.)
• Kingston Club studio

Registration
• Available only online
• Dates: October 1-14, 2023
• Fee: $40 (This includes all tools and materials.)
• Registration is limited to 6 people.

Note
• Participants must be at least 16 years old.
• No refund for cancellation on the day of the class",① 두 시간 동안 진행된다.,② 10월 1일부터 등록할 수 있다.,③ 등록 인원은 6명으로 제한된다.,④ 참가 연령에 제한이 없다.,⑤ 수업 당일 취소 시 환불이 불가하다.,④,"[해석] Silversmithing Class

Kingston Club은 정교한 보석 만들기 수업을 제공합니다. 여러분만의 보석을 만들 이 좋은 기회를 놓치지 마세요!

시간 & 장소
• 2023년 10월 21일 토요일(오후 2시부터 오후 4시까지)
• Kingston Club 스튜디오

등록
• 온라인으로만 가능
• 일자: 2023년 10월 1~14일
• 비용: 40달러(이것은 모든 도구와 재료를 포함합니다.)
• 등록은 6명으로 제한됩니다.

유의 사항
• 참가자는 16세 이상이어야 합니다.
• 수업 당일 취소 시 환불 불가",
내용추론,내용일치/불일치,"실용문, 내용일치",2023,9월,고1,인천교육청,28,9,2023 Ocean Awareness Film Contest에 관한 다음 안내문의 내용과 일치하는 것은?,"2023 Ocean Awareness Film Contest

Join our 7th annual film contest and show your knowledge of marine conservation.

□ Theme
- Ocean Wildlife / Ocean Pollution (Choose one of the above.)

□ Guidelines
- Participants: High school students
- Submission deadline: September 22, 2023
- The video must be between 10 and 15 minutes.
- All entries must be uploaded to our website.
- Only one entry per person

□ Prizes
• 1st place: $100
• 2nd place: $70
• 3rd place: $50
(Winners will be announced on our website.)

For more information, please visit www.oceanawareFC.com.",① 세 가지 주제 중 하나를 선택해야 한다.,② 중학생이 참가할 수 있다.,③ 영상은 10분을 넘길 수 없다.,④ 1인당 두 개까지 출품할 수 있다.,⑤ 수상자는 웹사이트에 공지될 것이다.,⑤,"[해석] 2023 Ocean Awareness Film Contest

우리의 일곱 번째 연례 영상 대회에 참여하여 해양 보존에 관한 여러분의 지식을 보여 주세요.

□ 주제
해양 야생 생물 / 해양 오염 (위에서 하나를 선택하세요.)

□ 지침
- 참가자: 고등학생
- 제출 기한: 2023년 9월 22일
- 영상은 10분에서 15분 사이여야 합니다.
- 모든 출품작은 우리 웹사이트에 업로드되어야 합니다.
- 1인당 오직 하나의 출품작

□ 상금
• 1등: 100달러
• 2등: 70달러
• 3등: 50달러
(수상자는 우리 웹사이트에 공지될 것입니다.)

더 많은 정보를 위해 www.oceanawareFC.com을 방문하세요.",
내용추론,내용일치/불일치,"실용문, 내용일치",2023,11월,고1,경기도교육청,26,10,Frederick Douglass에 관한 다음 글의 내용과 일치하지 않는 것은?,"Frederick Douglass was born into slavery at a farm in Maryland. His full name at birth was Frederick Augustus Washington Bailey. He changed his name to Frederick Douglass after he successfully escaped from slavery in 1838. He became a leader of the Underground Railroad ― a network of people, places, and routes that helped enslaved people escape to the north. He assisted other runaway slaves until they could safely get to other areas in the north. As a slave, he had taught himself to read and write and he spread that knowledge to other slaves as well. Once free, he became a well-known abolitionist and strong believer in equality for all people including Blacks, Native Americans, women, and recent immigrants. He wrote several autobiographies describing his experiences as a slave. In addition to all this, he became the first African-American candidate for vice president of the United States.

*abolitionist: 노예제 폐지론자",① Maryland에서 노예로 태어났다.,② 노예들이 탈출하는 것을 돕는 조직의 리더가 되었다.,③ 다른 노예들로부터 읽고 쓰는 법을 배웠다.,④ 노예로서의 자신의 경험을 묘사한 자서전을 썼다.,⑤ 미국의 첫 아프리카계 미국인 부통령 후보가 되었다.,③,"[해석] Frederick Douglass는 Maryland의 한 농장에서 노예로 태어났다. 태어났을 때 그의 성명은 Frederick Augustus Washington Bailey였다. 그는 1838년에 노예 상태에서 성공적으로 탈출한 후 자신의 이름을 Frederick Douglass로 바꿨다. 그는 노예가 된 사람들을 북쪽으로 탈출하도록 돕는 사람, 장소, 경로의 조직인 Underground Railroad의 리더가 되었다. 그는 다른 도망친 노예들이 북쪽의 다른 지역에 안전하게 도착할 수 있을 때까지 그들을 도왔다. 노예로서 그는 읽고 쓰는 것을 독학했고, 그 지식을 다른 노예들에게도 전파했다. 자유로워지고 난 뒤 그는 유명한 노예제 폐지론자이자 흑인, 아메리카 원주민, 여성, 그리고 최근 이민자들을 포함한 모든 사람들을 위한 평등에 대한 강한 신봉자가 되었다. 그는 노예로서의 자신의 경험을 묘사한 몇 권의 자서전을 썼다. 이 모든 것에 더하여 그는 미국의 첫 아프리카계 미국인 부통령 후보가 되었다.

*abolitionist: 노예제 폐지론자",
